"pangkat_id","golongan","nama_pangkat","created_at","updated_at"
1,II/a,Pengatur Muda,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
2,II/b,Pengatur Muda Tingkat I,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
3,II/c,Pengatur,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
4,II/d,Pengatur Tingkat I,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
5,III/a,Penata Muda,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
6,III/b,Penata Muda Tingkat I,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
7,III/c,Penata,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
8,III/d,Penata Tingkat I,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
9,IV/a,Pembina,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
10,IV/b,Pembina Tingkat I,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
11,IV/c,Pembina Utama Muda,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
12,IV/d,Pembina Utama Madya,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
13,IV/e,Pembina Utama,2026-07-08 07:49:00.929,2026-07-08 07:49:00.929
